Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
verify that clicking on the ordered list option modifies the  the selected content and using the key ctlr+shift+num8 performs the same action,PROD-92,10095,Test,Done,PROD,Products,software,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,Medium,Done,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,08-09-2021 12:20,08-09-2021 19:48,09-09-2021 04:55,08-09-2021 19:48,,0,,,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000jj:,,PROD Sprint 1,,,,,,,,Done
verify that clicking on the font family option gives various font family options to choose  for the content,PROD-91,10094,Test,Done,PROD,Products,software,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,Medium,Done,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,08-09-2021 12:17,08-09-2021 19:48,08-09-2021 19:06,08-09-2021 19:48,,0,,,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,,,,,,,,,PROD-102,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000jb:,,PROD Sprint 1,,,,,,,,Done
verify that clicking on the link navigate admin to the login page of uniform page,PROD-90,10093,Test,Done,PROD,Products,software,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,Medium,Done,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,08-09-2021 11:59,08-09-2021 19:41,09-09-2021 04:55,08-09-2021 19:41,,0,,,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0001q:r,,PROD Sprint 1,,,,,,,,Done
cannot remove the font family by clicking on the remove font family option,PROD-89,10092,Bug,To Do,PROD,Products,software,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,Medium,,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,08-09-2021 11:33,08-09-2021 12:05,08-09-2021 19:07,,,0,,,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,,,,,,,,PROD-88,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000j3:,,PROD Sprint 1,,,,,,,,To Do
verify that clicking on the remove font family removes the present font of the text,PROD-88,10091,Test,blocked,PROD,Products,software,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,Medium,,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,08-09-2021 11:09,08-09-2021 19:07,08-09-2021 19:15,,,0,,,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000iv:,,PROD Sprint 1,,,,,,,,To Do
verify that using the key  ctrl+u in the keyboard can perform the underline operation,PROD-87,10090,Test,Done,PROD,Products,software,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,Medium,Done,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,08-09-2021 11:07,08-09-2021 19:48,09-09-2021 04:55,08-09-2021 19:48,,0,,,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000in:,,PROD Sprint 1,,,,,,,,Done
"verify that clicking on the underline option , admin can write the text in with underlined words",PROD-86,10089,Test,Done,PROD,Products,software,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,Medium,Done,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,08-09-2021 11:06,08-09-2021 19:48,09-09-2021 04:55,08-09-2021 19:48,,0,,,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000if:,,PROD Sprint 1,,,,,,,,Done
verify that using the key ctrl+B can perform the bold operation,PROD-85,10088,Test,Done,PROD,Products,software,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,Medium,Done,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,08-09-2021 11:04,08-09-2021 19:48,09-09-2021 04:55,08-09-2021 19:48,,0,,,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000h7:,,PROD Sprint 1,,,,,,,,Done
"verify that clicking on the bold option , admin can write the text in bold",PROD-84,10087,Test,Done,PROD,Products,software,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,Medium,Done,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,08-09-2021 11:03,08-09-2021 19:48,09-09-2021 04:55,08-09-2021 19:48,,0,,,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000hz:,,PROD Sprint 1,,,,,,,,Done
"verify that clicking on the style option, admin can write the text in heading part",PROD-83,10086,Test,Done,PROD,Products,software,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,Medium,Done,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,08-09-2021 11:01,08-09-2021 19:48,09-09-2021 04:55,08-09-2021 19:48,,0,,,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000hr:,,PROD Sprint 1,,,,,,,,Done
verify that description field has multiple features to describe the product are shown in the text box,PROD-82,10085,Test,Done,PROD,Products,software,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,Medium,Done,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,08-09-2021 10:59,08-09-2021 19:48,09-09-2021 04:55,08-09-2021 19:48,,0,,,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000hj:,,PROD Sprint 1,,,,,,,,Done
verify that multiple items are selected at a time,PROD-81,10084,Test,Done,PROD,Products,software,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,Medium,Done,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,08-09-2021 08:05,08-09-2021 19:44,09-09-2021 04:55,08-09-2021 19:44,,0,,,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000hb:,,PROD Sprint 1,,,,,,,,Done
"verify that after selecting the item, it is shown with tick mark inside the box",PROD-80,10083,Test,Done,PROD,Products,software,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,Medium,Done,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,08-09-2021 08:04,08-09-2021 19:44,09-09-2021 04:55,08-09-2021 19:44,,0,,,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000h3:,,PROD Sprint 1,,,,,,,,Done
verify that select column is represented with a box for every product on the left side,PROD-79,10082,Test,Done,PROD,Products,software,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,Medium,Done,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,08-09-2021 08:02,08-09-2021 19:44,09-09-2021 04:55,08-09-2021 19:44,,0,,,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000gv:,,PROD Sprint 1,,,,,,,,Done
verify that successful status of copy is shown on the top of the page,PROD-78,10081,Test,Done,PROD,Products,software,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,Medium,Done,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,08-09-2021 08:01,08-09-2021 19:46,09-09-2021 04:55,08-09-2021 19:46,,0,,,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000gn:,,PROD Sprint 1,,,,,,,,Done
verify that copied products are shown in the products list after performing the action,PROD-77,10080,Test,Done,PROD,Products,software,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,Medium,Done,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,08-09-2021 07:59,08-09-2021 19:46,09-09-2021 04:55,08-09-2021 19:46,,0,,,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000gf:,,PROD Sprint 1,,,,,,,,Done
verify that multiple items can be selected at a time for copying,PROD-76,10079,Test,Done,PROD,Products,software,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,Medium,Done,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,08-09-2021 07:56,08-09-2021 19:46,09-09-2021 04:55,08-09-2021 19:46,,0,,,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000g7:,,PROD Sprint 1,,,,,,,,Done
"verify that copy button is at the top right corner with white color, clicking on that performs copy action",PROD-75,10078,Test,Done,PROD,Products,software,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,Medium,Done,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,08-09-2021 07:55,08-09-2021 19:46,09-09-2021 04:55,08-09-2021 19:46,,0,,,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000fz:,,PROD Sprint 1,,,,,,,,Done
verify that the deleted products are not seen in the overall list of products,PROD-74,10077,Test,Done,PROD,Products,software,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,Medium,Done,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,08-09-2021 07:49,08-09-2021 19:45,09-09-2021 04:55,08-09-2021 19:45,,0,,,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000fr:,,PROD Sprint 1,,,,,,,,Done
"verify that clicking on the delete button ,deletes the selected products from the data ",PROD-73,10076,Test,Done,PROD,Products,software,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,Medium,Done,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,08-09-2021 07:48,08-09-2021 19:45,09-09-2021 04:55,08-09-2021 19:45,,0,,,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000fj:,,PROD Sprint 1,,,,,,,,Done
verify that delete button is at the top right corner moving cursor on to the button show delete tag to identify,PROD-72,10075,Test,Done,PROD,Products,software,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,Medium,Done,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,08-09-2021 07:46,08-09-2021 19:46,08-09-2021 19:45,08-09-2021 19:46,,0,,,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000fb:,,PROD Sprint 1,,,,,,,,Done
verify that clicking on the cancel button navigate to the previous page,PROD-71,10074,Test,Done,PROD,Products,software,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,Medium,Done,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,08-09-2021 07:43,08-09-2021 19:44,09-09-2021 04:55,08-09-2021 19:44,,0,,,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000f3:,,PROD Sprint 1,,,,,,,,Done
verify that edit product page has save and cancel icon to save and terminate the action respectively,PROD-70,10073,Test,Done,PROD,Products,software,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,Medium,Done,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,08-09-2021 07:23,08-09-2021 19:44,09-09-2021 04:55,08-09-2021 19:44,,0,,,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000ev:,,PROD Sprint 1,,,,,,,,Done
verify that clicking on the edit button navigate admin to the edit page,PROD-69,10072,Test,Done,PROD,Products,software,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,Medium,Done,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,08-09-2021 07:20,08-09-2021 19:44,09-09-2021 04:55,08-09-2021 19:44,,0,,,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000en:,,PROD Sprint 1,,,,,,,,Done
verify that the edit option icon is under the action column after search results,PROD-68,10071,Test,Done,PROD,Products,software,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,Medium,Done,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,08-09-2021 07:19,08-09-2021 19:44,09-09-2021 04:55,08-09-2021 19:44,,0,,,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000ef:,,PROD Sprint 1,,,,,,,,Done
verify that admin enters unique tag for each and every product in the product tag field,PROD-67,10070,Test,Done,PROD,Products,software,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,Medium,Done,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,08-09-2021 06:24,08-09-2021 19:44,08-09-2021 19:44,08-09-2021 19:44,,0,,,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000e7:,,PROD Sprint 1,,,,,,,,Done
"verify that the product tag field accepts numbers, alphabets nd special characters",PROD-66,10069,Test,Done,PROD,Products,software,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,Medium,Done,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,08-09-2021 06:23,08-09-2021 19:44,09-09-2021 04:55,08-09-2021 19:44,,0,,,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000dz:,,PROD Sprint 1,,,,,,,,Done
verify that the status field is chosen disabled to see the unavailable product,PROD-65,10068,Test,Done,PROD,Products,software,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,Medium,Done,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,08-09-2021 06:19,08-09-2021 19:43,09-09-2021 04:55,08-09-2021 19:43,,0,,,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000d3:,,PROD Sprint 1,,,,,,,,Done
verify that the status field is chosen enabled to see the available product,PROD-64,10067,Test,Done,PROD,Products,software,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,Medium,Done,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,08-09-2021 06:19,08-09-2021 19:43,09-09-2021 04:55,08-09-2021 19:43,,0,,,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000dj:,,PROD Sprint 1,,,,,,,,Done
As a admin i want description field in the the general  to describe the product,PROD-63,10066,Story,blocked,PROD,Products,software,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,Medium,,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,08-09-2021 03:55,08-09-2021 19:06,08-09-2021 19:47,,,0,,,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,,,,,,,,,PROD-82,PROD-83,PROD-84,PROD-85,PROD-86,PROD-87,PROD-88,PROD-91,PROD-92,PROD-93,PROD-94,PROD-95,PROD-96,PROD-97,PROD-98,PROD-99,PROD-100,PROD-101,PROD-102,,,,,,{},,PROD-1,,,,,0|i0001q:i,,PROD Sprint 1,,,,,,,,To Do
